feature,family,coef,abs_coef,direction,mean_abs_shap,mean_signed_shap,mean_coef_cv,std_coef_cv,sign_consistency_cv
alphaRatioV_sma3nz_stddevNorm,Spectral Balance,0.04377504819387737,0.04377504819387737,PD,0.034027689505949546,7.069592247987673e-19,0.014778652294475175,0.05716907319890037,0.2
shimmerLocaldB_sma3nz_amean,Shimmer,0.043572950497606004,0.043572950497606004,PD,0.03424749908755471,8.554800703447267e-19,0.03299222761516348,0.04204601890070332,0.6
F2frequency_sma3nz_stddevNorm,Formants,0.043465937548981544,0.043465937548981544,PD,0.03390433012864271,-1.4258001172412112e-18,0.029383834490573822,0.040143211576225676,0.6
loudness_sma3_stddevNorm,Loudness/Energy,0.04337805214101131,0.04337805214101131,PD,0.03199767518160206,9.030067409194338e-19,0.018682906520743836,0.028981310433718904,0.2
F0semitoneFrom27.5Hz_sma3nz_amean,Pitch (F0),-0.04056276473551944,0.04056276473551944,HC,0.03413811115920674,1.5683801289653324e-18,-0.03230197634597686,0.039185484865072284,0.6
loudness_sma3_percentile20.0,Loudness/Energy,0.038785212520592686,0.038785212520592686,PD,0.025468504569773252,8.554800703447267e-19,0.031091011339918862,0.08749970082780628,0.2
F2amplitudeLogRelF0_sma3nz_stddevNorm,Formants,0.03791360506129995,0.03791360506129995,PD,0.028980623455245807,-2.186226846436524e-18,0.041080817291056594,0.01749432393159462,1.0
F1bandwidth_sma3nz_amean,Formants,0.0293866712115488,0.0293866712115488,PD,0.024467439157439947,-4.752667057470704e-19,0.050156130004261466,0.04763634888499301,0.6
logRelF0-H1-H2_sma3nz_stddevNorm,Harmonicity/Noise,0.02845705133609285,0.02845705133609285,PD,0.014566157947417625,1.8416584847698978e-19,0.0430527110035399,0.06843302487347072,0.6
alphaRatioUV_sma3nz_amean,Spectral Balance,-0.02632988544472129,0.02632988544472129,HC,0.017647760859204067,-6.653733880458986e-19,-0.012213881766625783,0.022618170440528308,0.6
loudness_sma3_percentile50.0,Loudness/Energy,-0.023943238640465377,0.023943238640465377,HC,0.01820503529868167,2.376333528735352e-19,-0.024321697063492534,0.013840073301144905,1.0
hammarbergIndexV_sma3nz_stddevNorm,Spectral Balance,0.018440462887130218,0.018440462887130218,PD,0.013241467795125923,2.376333528735352e-19,-0.021928421214413955,0.053432373541677895,0.2
StddevUnvoicedSegmentLength,Temporal/Rhythm,0.0165045768138459,0.0165045768138459,PD,0.011574249779293862,3.04467733369217e-19,-0.05002309497775729,0.05717671689788252,0.6
loudness_sma3_amean,Loudness/Energy,-0.015968107402274664,0.015968107402274664,HC,0.011343797011614814,-5.346750439654542e-20,0.00041303967432643993,0.021057406967574056,0.2
F0semitoneFrom27.5Hz_sma3nz_percentile20.0,Pitch (F0),-0.008940660632643678,0.008940660632643678,HC,0.0072692462158065125,-1.782250146551514e-20,-0.0008001449260235157,0.03062226954057733,0.2
F2amplitudeLogRelF0_sma3nz_amean,Formants,0.0065731791443891865,0.0065731791443891865,PD,0.0053490637441346925,-4.752667057470704e-20,-0.007924789119493156,0.017641574830702035,0.2
F1amplitudeLogRelF0_sma3nz_amean,Formants,-0.006508731878257081,0.006508731878257081,HC,0.0053955506032014,-1.0099417497125246e-19,-0.01659174467225725,0.013535555153663083,1.0
loudness_sma3_percentile80.0,Loudness/Energy,0.005313823963998282,0.005313823963998282,PD,0.003806015506987117,2.97041691091919e-20,0.015061873595360958,0.022106314561376045,0.6
mfcc3_sma3_amean,MFCC (Cepstral),0.003522156012419229,0.003522156012419229,PD,0.002685956193081755,2.3169251905169685e-19,-0.005447834431218683,0.011852134204658277,0.2
spectralFlux_sma3_stddevNorm,Spectral Balance,0.0028384636150650686,0.0028384636150650686,PD,0.002206811208685142,-5.94083382183838e-20,-0.019599769509695976,0.027193099908938017,0.6
loudness_sma3_pctlrange0-2,Loudness/Energy,0.002486842467016416,0.002486842467016416,PD,0.0017909507517198397,-7.871604813935854e-20,0.013715958423773234,0.021276621535330054,0.2
F3amplitudeLogRelF0_sma3nz_amean,Formants,0.0019276201120547935,0.0019276201120547935,PD,0.0015662091957669066,-7.426042277297975e-20,-0.010490614355661912,0.0167754493195351,0.2
